I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,MariTimer_32,MariTimer_32,MariTimer_32,MariTimer_32,MariTimer_32,MariTimer_32,MariTimer_32,MariTimer_32,MariTimer_32,MariTimer_32,MariTimer_32,MariTimer_32,MariTimer_32,MariTimer_32,MariTimer_32,MariTimer_32,MariTimer_32,MariTimer_32,MariTimer_32,MariTimer_32,ball,ball,ball,ball,ball,ball,ball,ball,ball,ball,ball,ball,ball,game,game,game,game,game,game,I007I,MariTimer_32
pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,throttle,steer,handbrake,rot_x,rot_y,rot_z,boost,boost_active,jump_active,dodge_active,double_jump_active,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,throttle,steer,handbrake,rot_x,rot_y,rot_z,boost,boost_active,jump_active,dodge_active,double_jump_active,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,hit_team_no,rot_x,rot_y,rot_z,time,delta,seconds_remaining,replicated_seconds_remaining,ball_has_been_hit,goal_number,boost_collect,boost_collect
2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,-0.29999999329447746,0.0,,,,0.009538515963756761,-2.356183709263073,2.1180273775665797e-05,85.0,False,False,False,False,-2048.0,-2560.0,17.049999237060547,0.0,0.0,2.7000001072883606,0.3999999910593033,-0.19999999552965164,0.0,255.0,,,0.016816619986595508,0.7854169479510641,-1.2199205715005629e-05,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,3.6268131732940674,0.04147089645266533,300,,,,,
2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,-0.29999999329447746,0.0,,,,0.009538515963756761,-2.356183709263073,2.1180273775665797e-05,85.0,False,False,False,False,-2048.0,-2560.0,17.049999237060547,0.0,0.0,2.7000001072883606,0.3999999910593033,-0.19999999552965164,0.0,255.0,,,0.016816619986595508,0.7854169479510641,-1.2199205715005629e-05,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,3.667938709259033,0.04112569987773895,300,,,,,
2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,-0.29999999329447746,0.0,,,,0.009538515963756761,-2.356183709263073,2.1180273775665797e-05,85.0,False,False,False,False,-2048.0,-2560.0,17.049999237060547,0.0,0.0,2.7000001072883606,0.3999999910593033,-0.19999999552965164,0.0,255.0,,,0.016816619986595508,0.7854169479510641,-1.2199205715005629e-05,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,3.709242820739746,0.041304100304841995,300,,,,,
2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,-0.29999999329447746,0.0,,,,0.009538515963756761,-2.356183709263073,2.1180273775665797e-05,85.0,False,False,False,False,-2048.0,-2560.0,17.049999237060547,0.0,0.0,2.7000001072883606,0.3999999910593033,-0.19999999552965164,0.0,255.0,,,0.016816619986595508,0.7854169479510641,-1.2199205715005629e-05,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,3.7515454292297363,0.04230239987373352,300,,,,,
2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,-0.29999999329447746,0.0,,,,0.009538515963756761,-2.356183709263073,2.1180273775665797e-05,85.0,False,False,False,False,-2048.0,-2560.0,17.049999237060547,0.0,0.0,2.7000001072883606,0.3999999910593033,-0.19999999552965164,0.0,255.0,,,0.016816619986595508,0.7854169479510641,-1.2199205715005629e-05,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,3.794637441635132,0.04309210181236267,300,,,,,
2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,-0.29999999329447746,0.0,,,,0.009538515963756761,-2.356183709263073,2.1180273775665797e-05,85.0,False,False,False,False,-2048.0,-2560.0,17.049999237060547,0.0,0.0,2.7000001072883606,0.3999999910593033,-0.19999999552965164,0.0,255.0,,,0.016816619986595508,0.7854169479510641,-1.2199205715005629e-05,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,3.83587384223938,0.04123619943857193,300,,,,,
2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,-0.29999999329447746,0.0,255.0,,,0.009538515963756761,-2.356183709263073,2.1180273775665797e-05,85.0,False,False,False,False,-2048.0,-2560.0,17.049999237060547,0.0,0.0,2.7000001072883606,0.3999999910593033,-0.19999999552965164,0.0,255.0,,,0.016816619986595508,0.7854169479510641,-1.2199205715005629e-05,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,3.876970052719116,0.04109640046954155,300,,,,,
2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,-0.29999999329447746,0.0,255.0,,,0.009538515963756761,-2.356183709263073,2.1180273775665797e-05,85.0,False,False,False,False,-2048.0,-2560.0,17.049999237060547,0.0,0.0,2.7000001072883606,0.3999999910593033,-0.19999999552965164,0.0,255.0,,,0.016816619986595508,0.7854169479510641,-1.2199205715005629e-05,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,3.9178149700164795,0.04084499925374985,300,,,,,
2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,-0.29999999329447746,0.0,255.0,,,0.009538515963756761,-2.356183709263073,2.1180273775665797e-05,85.0,False,False,False,False,-2048.0,-2560.0,17.049999237060547,0.0,0.0,2.7000001072883606,0.3999999910593033,-0.19999999552965164,0.0,255.0,,,0.016816619986595508,0.7854169479510641,-1.2199205715005629e-05,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,3.958547592163086,0.040732402354478836,300,,,,,
