I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,Trobb90,Trobb90,Trobb90,Trobb90,Trobb90,Trobb90,Trobb90,Trobb90,Trobb90,Trobb90,Trobb90,Trobb90,Trobb90,Trobb90,Trobb90,Trobb90,Trobb90,Trobb90,Trobb90,Trobb90,ball,ball,ball,ball,ball,ball,ball,ball,ball,ball,ball,ball,ball,game,game,game,game,game,game,I007I,Trobb90
pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,throttle,steer,handbrake,rot_x,rot_y,rot_z,jump_active,double_jump_active,boost,boost_active,dodge_active,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,throttle,steer,handbrake,rot_x,rot_y,rot_z,dodge_active,boost,boost_active,double_jump_active,jump_active,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,hit_team_no,rot_x,rot_y,rot_z,time,delta,seconds_remaining,replicated_seconds_remaining,ball_has_been_hit,goal_number,boost_collect,boost_collect
2048.0,-2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.3999999910593033,-0.19999999552965164,0.0,,,,0.009552613894084325,2.3561836610450038,-1.534134422157188e-05,False,False,85.0,False,False,-2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.3999999910593033,0.19999999552965164,0.0,255.0,,,0.009552613894084325,-0.7854089554748602,-1.534134422157188e-05,False,85.0,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,3.6196718215942383,0.042753301560878754,300,,,,,
2048.0,-2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.3999999910593033,-0.19999999552965164,0.0,,,,0.009552613894084325,2.3561836610450038,-1.534134422157188e-05,False,False,85.0,False,False,-2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.3999999910593033,0.19999999552965164,0.0,255.0,,,0.009552613894084325,-0.7854089554748602,-1.534134422157188e-05,False,85.0,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,3.6628034114837646,0.04313169792294502,300,,,,,
2048.0,-2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.3999999910593033,-0.19999999552965164,0.0,,,,0.009552613894084325,2.3561836610450038,-1.534134422157188e-05,False,False,85.0,False,False,-2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.3999999910593033,0.19999999552965164,0.0,255.0,,,0.009552613894084325,-0.7854089554748602,-1.534134422157188e-05,False,85.0,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,3.705623149871826,0.04281970113515854,300,,,,,
2048.0,-2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.3999999910593033,-0.19999999552965164,0.0,,,,0.009552613894084325,2.3561836610450038,-1.534134422157188e-05,False,False,85.0,False,False,-2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.3999999910593033,0.19999999552965164,0.0,255.0,,,0.009552613894084325,-0.7854089554748602,-1.534134422157188e-05,False,85.0,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,3.7493269443511963,0.04370399937033653,300,,,,,
2048.0,-2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.3999999910593033,-0.19999999552965164,0.0,,,,0.009552613894084325,2.3561836610450038,-1.534134422157188e-05,False,False,85.0,False,False,-2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.3999999910593033,0.19999999552965164,0.0,255.0,,,0.009552613894084325,-0.7854089554748602,-1.534134422157188e-05,False,85.0,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,3.7920897006988525,0.04276290163397789,300,,,,,
2048.0,-2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.3999999910593033,-0.19999999552965164,0.0,,,,0.009552613894084325,2.3561836610450038,-1.534134422157188e-05,False,False,85.0,False,False,-2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.3999999910593033,0.19999999552965164,0.0,255.0,,,0.009552613894084325,-0.7854089554748602,-1.534134422157188e-05,False,85.0,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,3.83444881439209,0.04235919937491417,300,,,,,
2048.0,-2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.3999999910593033,-0.19999999552965164,0.0,,,,0.009552613894084325,2.3561836610450038,-1.534134422157188e-05,False,False,85.0,False,False,-2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.3999999910593033,0.19999999552965164,0.0,255.0,,,0.009552613894084325,-0.7854089554748602,-1.534134422157188e-05,False,85.0,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,3.8768067359924316,0.042357899248600006,300,,,,,
2048.0,-2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.3999999910593033,-0.19999999552965164,0.0,,,,0.009552613894084325,2.3561836610450038,-1.534134422157188e-05,False,False,85.0,False,False,-2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.3999999910593033,0.19999999552965164,0.0,255.0,,,0.009552613894084325,-0.7854089554748602,-1.534134422157188e-05,False,85.0,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,3.9172680377960205,0.04046120122075081,300,,,,,
2048.0,-2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.3999999910593033,-0.19999999552965164,0.0,,,,0.009552613894084325,2.3561836610450038,-1.534134422157188e-05,False,False,85.0,False,False,-2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.3999999910593033,0.19999999552965164,0.0,255.0,,,0.009552613894084325,-0.7854089554748602,-1.534134422157188e-05,False,85.0,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,3.9579811096191406,0.04071339964866638,300,,,,,
