I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,SanKirive,SanKirive,SanKirive,SanKirive,SanKirive,SanKirive,SanKirive,SanKirive,SanKirive,SanKirive,SanKirive,SanKirive,SanKirive,SanKirive,SanKirive,SanKirive,SanKirive,SanKirive,SanKirive,SanKirive,ball,ball,ball,ball,ball,ball,ball,ball,ball,ball,ball,ball,ball,game,game,game,game,game,game,I007I,SanKirive
pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,throttle,steer,handbrake,rot_x,rot_y,rot_z,boost,boost_active,double_jump_active,dodge_active,jump_active,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,throttle,steer,handbrake,rot_x,rot_y,rot_z,boost,boost_active,dodge_active,double_jump_active,jump_active,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,hit_team_no,rot_x,rot_y,rot_z,time,delta,seconds_remaining,replicated_seconds_remaining,ball_has_been_hit,goal_number,boost_collect,boost_collect
-256.0,-3840.0,17.010000228881836,0.0,0.0,2.7000001072883606,-0.5999999865889549,0.0,0.0,255.0,0.0,,0.009544408615608195,1.570788551888575,-3.701008606201032e-08,85.0,False,False,False,False,256.0,3840.0,17.049999237060547,0.0,0.0,3.1999999284744263,-0.29999999329447746,0.0,0.0,,,,0.016807872707948066,-1.5708173559379828,-1.7641415603240138e-07,85.0,False,False,False,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,12.866582870483398,0.034780099987983704,300,,,,,
-256.0,-3840.0,17.010000228881836,0.0,0.0,2.7000001072883606,-0.5999999865889549,0.0,0.0,255.0,0.0,,0.009544408615608195,1.570788551888575,-3.701008606201032e-08,85.0,False,False,False,False,256.0,3840.0,17.049999237060547,0.0,0.0,3.1999999284744263,-0.29999999329447746,0.0,0.0,,,,0.016807872707948066,-1.5708173559379828,-1.7641415603240138e-07,85.0,False,False,False,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,12.900790214538574,0.034206800162792206,300,,,,,
-256.0,-3840.0,17.010000228881836,0.0,0.0,2.7000001072883606,-0.5999999865889549,0.0,0.0,255.0,63.0,,0.009544408615608195,1.570788551888575,-3.701008606201032e-08,85.0,False,False,False,False,256.0,3840.0,17.049999237060547,0.0,0.0,3.1999999284744263,-0.29999999329447746,0.0,0.0,,,,0.016807872707948066,-1.5708173559379828,-1.7641415603240138e-07,85.0,False,False,False,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,12.935415267944336,0.03462500125169754,300,,,,,
-256.0,-3840.0,17.010000228881836,0.0,0.0,2.7000001072883606,-0.5999999865889549,0.0,0.0,255.0,128.0,,0.009544408615608195,1.570788551888575,-3.701008606201032e-08,85.0,False,False,False,False,256.0,3840.0,17.049999237060547,0.0,0.0,3.1999999284744263,-0.29999999329447746,0.0,0.0,,,,0.016807872707948066,-1.5708173559379828,-1.7641415603240138e-07,85.0,False,False,False,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,12.969985008239746,0.034569598734378815,300,,,,,
-256.0,-3840.0,17.010000228881836,0.0,0.0,2.7000001072883606,-0.5999999865889549,0.0,0.0,255.0,128.0,,0.009544408615608195,1.570788551888575,-3.701008606201032e-08,85.0,False,False,False,False,256.0,3840.0,17.049999237060547,0.0,0.0,3.1999999284744263,-0.29999999329447746,0.0,0.0,,,,0.016807872707948066,-1.5708173559379828,-1.7641415603240138e-07,85.0,False,False,False,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,13.004323959350586,0.03433850035071373,300,,,,,
-256.0,-3840.0,17.010000228881836,0.0,0.0,2.7000001072883606,-0.5999999865889549,0.0,0.0,255.0,128.0,,0.009544408615608195,1.570788551888575,-3.701008606201032e-08,85.0,False,False,False,False,256.0,3840.0,17.049999237060547,0.0,0.0,3.1999999284744263,-0.29999999329447746,0.0,0.0,,,,0.016807872707948066,-1.5708173559379828,-1.7641415603240138e-07,85.0,False,False,False,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,13.038652420043945,0.0343284010887146,300,,,,,
-256.0,-3840.0,17.010000228881836,0.0,0.0,2.7000001072883606,-0.5999999865889549,0.0,0.0,255.0,128.0,,0.009544408615608195,1.570788551888575,-3.701008606201032e-08,85.0,False,False,False,False,256.0,3840.0,17.049999237060547,0.0,0.0,3.1999999284744263,-0.29999999329447746,0.0,0.0,,,,0.016807872707948066,-1.5708173559379828,-1.7641415603240138e-07,85.0,False,False,False,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,13.072916984558105,0.034264396876096725,300,,,,,
-256.0,-3840.0,17.010000228881836,0.0,0.0,2.7000001072883606,-0.5999999865889549,0.0,0.0,255.0,128.0,,0.009544408615608195,1.570788551888575,-3.701008606201032e-08,85.0,False,False,False,False,256.0,3840.0,17.049999237060547,0.0,0.0,3.1999999284744263,-0.29999999329447746,0.0,0.0,,,,0.016807872707948066,-1.5708173559379828,-1.7641415603240138e-07,85.0,False,False,False,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,13.107288360595703,0.03437170013785362,300,,,,,
-256.0,-3840.0,17.010000228881836,0.0,0.0,2.7000001072883606,-0.5999999865889549,0.0,0.0,255.0,128.0,,0.009544408615608195,1.570788551888575,-3.701008606201032e-08,85.0,False,False,False,False,256.0,3840.0,17.049999237060547,0.0,0.0,3.1999999284744263,-0.29999999329447746,0.0,0.0,,,,0.016807872707948066,-1.5708173559379828,-1.7641415603240138e-07,85.0,False,False,False,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,13.141831398010254,0.03454359993338585,300,,,,,
