I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,Robloxlegend844,Robloxlegend844,Robloxlegend844,Robloxlegend844,Robloxlegend844,Robloxlegend844,Robloxlegend844,Robloxlegend844,Robloxlegend844,Robloxlegend844,Robloxlegend844,Robloxlegend844,Robloxlegend844,Robloxlegend844,Robloxlegend844,Robloxlegend844,Robloxlegend844,Robloxlegend844,Robloxlegend844,Robloxlegend844,ball,ball,ball,ball,ball,ball,ball,ball,ball,ball,ball,ball,ball,game,game,game,game,game,game,I007I,Robloxlegend844
pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,throttle,steer,handbrake,rot_x,rot_y,rot_z,dodge_active,double_jump_active,jump_active,boost,boost_active,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,throttle,steer,handbrake,rot_x,rot_y,rot_z,boost,boost_active,double_jump_active,dodge_active,jump_active,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,hit_team_no,rot_x,rot_y,rot_z,time,delta,seconds_remaining,replicated_seconds_remaining,ball_has_been_hit,goal_number,boost_collect,boost_collect
256.0,-3840.0,17.010000228881836,0.0,0.5000000074505806,2.0999999344348907,-0.5999999865889549,0.0,0.0,255.0,,,0.00954440821332465,1.570101992479889,-3.313609553170254e-06,False,False,False,85.0,False,-256.0,3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,0.0,0.0,,,,0.009544408615608195,-1.570788551888575,3.701008606201032e-08,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,3.6658565998077393,0.03977170214056969,300,,,,,
256.0,-3840.0,17.010000228881836,0.0,0.5000000074505806,2.0999999344348907,-0.5999999865889549,0.0,0.0,255.0,,,0.00954440821332465,1.570101992479889,-3.313609553170254e-06,False,False,False,85.0,False,-256.0,3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,0.0,0.0,,,,0.009544408615608195,-1.570788551888575,3.701008606201032e-08,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,3.7054600715637207,0.03960359841585159,300,,,,,
256.0,-3840.0,17.010000228881836,0.0,0.5000000074505806,2.0999999344348907,-0.5999999865889549,0.0,0.0,255.0,,,0.00954440821332465,1.570101992479889,-3.313609553170254e-06,False,False,False,85.0,False,-256.0,3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,0.0,0.0,,,,0.009544408615608195,-1.570788551888575,3.701008606201032e-08,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,3.7428879737854004,0.03742789849638939,300,,,,,
256.0,-3840.0,17.010000228881836,0.0,0.5000000074505806,2.0999999344348907,-0.5999999865889549,0.0,0.0,255.0,,,0.00954440821332465,1.570101992479889,-3.313609553170254e-06,False,False,False,85.0,False,-256.0,3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,0.0,0.0,,,,0.009544408615608195,-1.570788551888575,3.701008606201032e-08,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,3.7807564735412598,0.037868302315473557,300,,,,,
256.0,-3840.0,17.010000228881836,0.0,0.5000000074505806,2.0999999344348907,-0.5999999865889549,0.0,0.0,255.0,,,0.00954440821332465,1.570101992479889,-3.313609553170254e-06,False,False,False,85.0,False,-256.0,3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,0.0,0.0,,,,0.009544408615608195,-1.570788551888575,3.701008606201032e-08,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,3.8193140029907227,0.038557399064302444,300,,,,,
256.0,-3840.0,17.010000228881836,0.0,0.5000000074505806,2.0999999344348907,-0.5999999865889549,0.0,0.0,255.0,255.0,,0.00954440821332465,1.570101992479889,-3.313609553170254e-06,False,False,False,85.0,False,-256.0,3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,0.0,0.0,,,,0.009544408615608195,-1.570788551888575,3.701008606201032e-08,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,3.857003927230835,0.037689801305532455,300,,,,,
256.0,-3840.0,17.010000228881836,0.0,0.5000000074505806,2.0999999344348907,-0.5999999865889549,0.0,0.0,255.0,255.0,,0.00954440821332465,1.570101992479889,-3.313609553170254e-06,False,False,False,85.0,False,-256.0,3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,0.0,0.0,,,,0.009544408615608195,-1.570788551888575,3.701008606201032e-08,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,3.8949508666992188,0.03794679790735245,300,,,,,
256.0,-3840.0,17.010000228881836,0.0,0.5000000074505806,2.0999999344348907,-0.5999999865889549,0.0,0.0,255.0,255.0,,0.00954440821332465,1.570101992479889,-3.313609553170254e-06,False,False,False,85.0,False,-256.0,3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,0.0,0.0,,,,0.009544408615608195,-1.570788551888575,3.701008606201032e-08,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,3.9333653450012207,0.03841429948806763,300,,,,,
256.0,-3840.0,17.010000228881836,0.0,0.5000000074505806,2.0999999344348907,-0.5999999865889549,0.0,0.0,255.0,255.0,,0.00954440821332465,1.570101992479889,-3.313609553170254e-06,False,False,False,85.0,False,-256.0,3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,0.0,0.0,,,,0.009544408615608195,-1.570788551888575,3.701008606201032e-08,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,3.972083806991577,0.03871859982609749,300,,,,,
