I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,KawaiChick,KawaiChick,KawaiChick,KawaiChick,KawaiChick,KawaiChick,KawaiChick,KawaiChick,KawaiChick,KawaiChick,KawaiChick,KawaiChick,KawaiChick,KawaiChick,KawaiChick,KawaiChick,KawaiChick,KawaiChick,KawaiChick,KawaiChick,ball,ball,ball,ball,ball,ball,ball,ball,ball,ball,ball,ball,ball,game,game,game,game,game,game,I007I,KawaiChick
pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,throttle,steer,handbrake,rot_x,rot_y,rot_z,jump_active,double_jump_active,dodge_active,boost,boost_active,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,throttle,steer,handbrake,rot_x,rot_y,rot_z,boost,boost_active,jump_active,double_jump_active,dodge_active,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,hit_team_no,rot_x,rot_y,rot_z,time,delta,seconds_remaining,replicated_seconds_remaining,ball_has_been_hit,goal_number,boost_collect,boost_collect
2048.0,-2560.0,17.010000228881836,0.0,0.0,2.7000001072883606,-0.5999999865889549,-0.29999999329447746,0.0,255.0,,,0.009538515963756761,2.356183709263073,-2.1180273775665797e-05,False,False,False,85.0,False,-2048.0,2560.0,17.010000228881836,0.0,0.0,2.7000001072883606,0.5999999865889549,0.29999999329447746,0.0,,,,0.009538515963756761,-0.7854089679307134,-2.1180273775665797e-05,85.0,False,False,False,False,0.0,0.0,92.44999694824219,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,11.726509094238281,0.0386429987847805,300,,,,,
2048.0,-2560.0,17.010000228881836,0.0,0.0,2.7000001072883606,-0.5999999865889549,-0.29999999329447746,0.0,255.0,,,0.009538515963756761,2.356183709263073,-2.1180273775665797e-05,False,False,False,85.0,False,-2048.0,2560.0,17.010000228881836,0.0,0.0,2.7000001072883606,0.5999999865889549,0.29999999329447746,0.0,,,,0.009538515963756761,-0.7854089679307134,-2.1180273775665797e-05,85.0,False,False,False,False,0.0,0.0,92.44999694824219,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,11.761455535888672,0.03494720160961151,300,,,,,
2048.0,-2560.0,17.010000228881836,0.0,0.0,2.7000001072883606,-0.5999999865889549,-0.29999999329447746,0.0,255.0,,,0.009538515963756761,2.356183709263073,-2.1180273775665797e-05,False,False,False,85.0,False,-2048.0,2560.0,17.010000228881836,0.0,0.0,2.7000001072883606,0.5999999865889549,0.29999999329447746,0.0,,,,0.009538515963756761,-0.7854089679307134,-2.1180273775665797e-05,85.0,False,False,False,False,0.0,0.0,92.44999694824219,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,11.797558784484863,0.03610239923000336,300,,,,,
2048.0,-2560.0,17.010000228881836,0.0,0.0,2.7000001072883606,-0.5999999865889549,-0.29999999329447746,0.0,255.0,,,0.009538515963756761,2.356183709263073,-2.1180273775665797e-05,False,False,False,85.0,False,-2048.0,2560.0,17.010000228881836,0.0,0.0,2.7000001072883606,0.5999999865889549,0.29999999329447746,0.0,,,,0.009538515963756761,-0.7854089679307134,-2.1180273775665797e-05,85.0,False,False,False,False,0.0,0.0,92.44999694824219,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,11.834288597106934,0.03672970086336136,300,,,,,
2048.0,-2560.0,17.010000228881836,0.0,0.0,2.7000001072883606,-0.5999999865889549,-0.29999999329447746,0.0,255.0,,,0.009538515963756761,2.356183709263073,-2.1180273775665797e-05,False,False,False,85.0,False,-2048.0,2560.0,17.010000228881836,0.0,0.0,2.7000001072883606,0.5999999865889549,0.29999999329447746,0.0,,,,0.009538515963756761,-0.7854089679307134,-2.1180273775665797e-05,85.0,False,False,False,False,0.0,0.0,92.44999694824219,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,11.871940612792969,0.037652499973773956,300,,,,,
2048.0,-2560.0,17.010000228881836,0.0,0.0,2.7000001072883606,-0.5999999865889549,-0.29999999329447746,0.0,255.0,,,0.009538515963756761,2.356183709263073,-2.1180273775665797e-05,False,False,False,85.0,False,-2048.0,2560.0,17.010000228881836,0.0,0.0,2.7000001072883606,0.5999999865889549,0.29999999329447746,0.0,,,,0.009538515963756761,-0.7854089679307134,-2.1180273775665797e-05,85.0,False,False,False,False,0.0,0.0,92.44999694824219,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,11.910106658935547,0.03816629946231842,300,,,,,
2048.0,-2560.0,17.010000228881836,0.0,0.0,2.7000001072883606,-0.5999999865889549,-0.29999999329447746,0.0,255.0,,,0.009538515963756761,2.356183709263073,-2.1180273775665797e-05,False,False,False,85.0,False,-2048.0,2560.0,17.010000228881836,0.0,0.0,2.7000001072883606,0.5999999865889549,0.29999999329447746,0.0,,,,0.009538515963756761,-0.7854089679307134,-2.1180273775665797e-05,85.0,False,False,False,False,0.0,0.0,92.44999694824219,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,11.946256637573242,0.03615020215511322,300,,,,,
2048.0,-2560.0,17.010000228881836,0.0,0.0,2.7000001072883606,-0.5999999865889549,-0.29999999329447746,0.0,255.0,,,0.009538515963756761,2.356183709263073,-2.1180273775665797e-05,False,False,False,85.0,False,-2048.0,2560.0,17.010000228881836,0.0,0.0,2.7000001072883606,0.5999999865889549,0.29999999329447746,0.0,,,,0.009538515963756761,-0.7854089679307134,-2.1180273775665797e-05,85.0,False,False,False,False,0.0,0.0,92.44999694824219,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,11.981315612792969,0.035058196634054184,300,,,,,
2048.0,-2560.0,17.010000228881836,0.0,0.0,2.7000001072883606,-0.5999999865889549,-0.29999999329447746,0.0,255.0,,,0.009538515963756761,2.356183709263073,-2.1180273775665797e-05,False,False,False,85.0,False,-2048.0,2560.0,17.010000228881836,0.0,0.0,2.7000001072883606,0.5999999865889549,0.29999999329447746,0.0,,,,0.009538515963756761,-0.7854089679307134,-2.1180273775665797e-05,85.0,False,False,False,False,0.0,0.0,92.44999694824219,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,12.016362190246582,0.035046402364969254,300,,,,,
