I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,AGamer47,AGamer47,AGamer47,AGamer47,AGamer47,AGamer47,AGamer47,AGamer47,AGamer47,AGamer47,AGamer47,AGamer47,AGamer47,AGamer47,AGamer47,AGamer47,AGamer47,AGamer47,AGamer47,AGamer47,ball,ball,ball,ball,ball,ball,ball,ball,ball,ball,ball,ball,ball,game,game,game,game,game,game,I007I,AGamer47
pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,throttle,steer,handbrake,rot_x,rot_y,rot_z,boost,boost_active,jump_active,dodge_active,double_jump_active,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,throttle,steer,handbrake,rot_x,rot_y,rot_z,dodge_active,jump_active,boost,boost_active,double_jump_active,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,hit_team_no,rot_x,rot_y,rot_z,time,delta,seconds_remaining,replicated_seconds_remaining,ball_has_been_hit,goal_number,boost_collect,boost_collect
-256.0,3840.0,17.010000228881836,0.0,0.0,2.7000001072883606,0.5999999865889549,0.0,0.0,,,,0.009544408615608195,-1.570788551888575,3.701008606201032e-08,85.0,False,False,False,False,256.0,-3840.0,17.059999465942383,0.0,0.0,2.0000000298023224,0.3999999910593033,0.0,0.0,255.0,,,0.016815442691792623,1.5708173146429312,7.74655677622181e-06,False,False,85.0,False,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,18.044551849365234,0.12776529788970947,300,,,,,
-256.0,3840.0,17.010000228881836,0.0,0.0,2.7000001072883606,0.5999999865889549,0.0,0.0,,,,0.009544408615608195,-1.570788551888575,3.701008606201032e-08,85.0,False,False,False,False,256.0,-3840.0,17.059999465942383,0.0,0.0,2.0000000298023224,0.3999999910593033,0.0,0.0,255.0,,,0.016815442691792623,1.5708173146429312,7.74655677622181e-06,False,False,85.0,False,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,18.120012283325195,0.07546110451221466,300,,,,,
-256.0,3840.0,17.010000228881836,0.0,0.0,2.7000001072883606,0.5999999865889549,0.0,0.0,,,,0.009544408615608195,-1.570788551888575,3.701008606201032e-08,85.0,False,False,False,False,256.0,-3840.0,17.059999465942383,0.0,0.0,2.0000000298023224,0.3999999910593033,0.0,0.0,255.0,,,0.016815442691792623,1.5708173146429312,7.74655677622181e-06,False,False,85.0,False,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,18.167984008789062,0.04797130078077316,300,,,,,
-256.0,3840.0,17.010000228881836,0.0,0.0,2.7000001072883606,0.5999999865889549,0.0,0.0,,,,0.009544408615608195,-1.570788551888575,3.701008606201032e-08,85.0,False,False,False,False,256.0,-3840.0,17.059999465942383,0.0,0.0,2.0000000298023224,0.3999999910593033,0.0,0.0,255.0,,,0.016815442691792623,1.5708173146429312,7.74655677622181e-06,False,False,85.0,False,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,18.20392417907715,0.03593970090150833,300,,,,,
-256.0,3840.0,17.010000228881836,0.0,0.0,2.7000001072883606,0.5999999865889549,0.0,0.0,,,,0.009544408615608195,-1.570788551888575,3.701008606201032e-08,85.0,False,False,False,False,256.0,-3840.0,17.059999465942383,0.0,0.0,2.0000000298023224,0.3999999910593033,0.0,0.0,255.0,,,0.016815442691792623,1.5708173146429312,7.74655677622181e-06,False,False,85.0,False,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,18.24453353881836,0.04060949757695198,300,,,,,
-256.0,3840.0,17.010000228881836,0.0,0.0,2.7000001072883606,0.5999999865889549,0.0,0.0,,,,0.009544408615608195,-1.570788551888575,3.701008606201032e-08,85.0,False,False,False,False,256.0,-3840.0,17.059999465942383,0.0,0.0,2.0000000298023224,0.3999999910593033,0.0,0.0,255.0,,,0.016815442691792623,1.5708173146429312,7.74655677622181e-06,False,False,85.0,False,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,18.287057876586914,0.04252610355615616,300,,,,,
-256.0,3840.0,17.010000228881836,0.0,0.0,2.7000001072883606,0.5999999865889549,0.0,0.0,,,,0.009544408615608195,-1.570788551888575,3.701008606201032e-08,85.0,False,False,False,False,256.0,-3840.0,17.059999465942383,0.0,0.0,2.0000000298023224,0.3999999910593033,0.0,0.0,255.0,,,0.016815442691792623,1.5708173146429312,7.74655677622181e-06,False,False,85.0,False,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,18.329471588134766,0.04241359978914261,300,,,,,
-256.0,3840.0,17.010000228881836,0.0,0.0,2.7000001072883606,0.5999999865889549,0.0,0.0,,,,0.009544408615608195,-1.570788551888575,3.701008606201032e-08,85.0,False,False,False,False,256.0,-3840.0,17.059999465942383,0.0,0.0,2.0000000298023224,0.3999999910593033,0.0,0.0,255.0,,,0.016815442691792623,1.5708173146429312,7.74655677622181e-06,False,False,85.0,False,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,18.368576049804688,0.03910539671778679,300,,,,,
-256.0,3840.0,17.010000228881836,0.0,0.0,2.7000001072883606,0.5999999865889549,0.0,0.0,,,,0.009544408615608195,-1.570788551888575,3.701008606201032e-08,85.0,False,False,False,False,256.0,-3840.0,17.059999465942383,0.0,0.0,2.0000000298023224,0.3999999910593033,0.0,0.0,255.0,,,0.016815442691792623,1.5708173146429312,7.74655677622181e-06,False,False,85.0,False,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,18.404945373535156,0.03636980056762695,300,,,,,
