WhewWhewWhew,WhewWhewWhew,WhewWhewWhew,WhewWhewWhew,WhewWhewWhew,WhewWhewWhew,WhewWhewWhew,WhewWhewWhew,WhewWhewWhew,WhewWhewWhew,WhewWhewWhew,WhewWhewWhew,WhewWhewWhew,WhewWhewWhew,WhewWhewWhew,WhewWhewWhew,WhewWhewWhew,WhewWhewWhew,WhewWhewWhew,WhewWhewWhew,Hyenaboy67,Hyenaboy67,Hyenaboy67,Hyenaboy67,Hyenaboy67,Hyenaboy67,Hyenaboy67,Hyenaboy67,Hyenaboy67,Hyenaboy67,Hyenaboy67,Hyenaboy67,Hyenaboy67,Hyenaboy67,Hyenaboy67,Hyenaboy67,Hyenaboy67,Hyenaboy67,Hyenaboy67,Hyenaboy67,ball,ball,ball,ball,ball,ball,ball,ball,ball,ball,ball,ball,ball,game,game,game,game,game,game,WhewWhewWhew,Hyenaboy67
pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,throttle,steer,handbrake,rot_x,rot_y,rot_z,jump_active,double_jump_active,boost,boost_active,dodge_active,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,throttle,steer,handbrake,rot_x,rot_y,rot_z,boost,boost_active,jump_active,dodge_active,double_jump_active,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,hit_team_no,rot_x,rot_y,rot_z,time,delta,seconds_remaining,replicated_seconds_remaining,ball_has_been_hit,goal_number,boost_collect,boost_collect
2048.0,2560.0,17.010000228881836,0.0,0.0,2.7000001072883606,0.3999999910593033,-0.19999999552965164,0.0,,,,0.009552613894084325,-2.3561836610450038,1.534134422157188e-05,False,False,85.0,False,False,-2048.0,-2560.0,17.010000228881836,0.0,0.0,2.7000001072883606,-0.5999999865889549,0.29999999329447746,0.0,,,,0.009538515963756761,0.7854089679307134,2.1180273775665797e-05,85.0,False,False,False,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,5.150228023529053,0.03622109815478325,300,,,,,
2048.0,2560.0,17.010000228881836,0.0,0.0,2.7000001072883606,0.3999999910593033,-0.19999999552965164,0.0,,,,0.009552613894084325,-2.3561836610450038,1.534134422157188e-05,False,False,85.0,False,False,-2048.0,-2560.0,17.010000228881836,0.0,0.0,2.7000001072883606,-0.5999999865889549,0.29999999329447746,0.0,,,,0.009538515963756761,0.7854089679307134,2.1180273775665797e-05,85.0,False,False,False,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,5.185791969299316,0.035564202815294266,300,,,,,
2048.0,2560.0,17.010000228881836,0.0,0.0,2.7000001072883606,0.3999999910593033,-0.19999999552965164,0.0,,,,0.009552613894084325,-2.3561836610450038,1.534134422157188e-05,False,False,85.0,False,False,-2048.0,-2560.0,17.010000228881836,0.0,0.0,2.7000001072883606,-0.5999999865889549,0.29999999329447746,0.0,,,,0.009538515963756761,0.7854089679307134,2.1180273775665797e-05,85.0,False,False,False,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,5.221230506896973,0.03543899953365326,300,,,,,
2048.0,2560.0,17.010000228881836,0.0,0.0,2.7000001072883606,0.3999999910593033,-0.19999999552965164,0.0,,,,0.009552613894084325,-2.3561836610450038,1.534134422157188e-05,False,False,85.0,False,False,-2048.0,-2560.0,17.010000228881836,0.0,0.0,2.7000001072883606,-0.5999999865889549,0.29999999329447746,0.0,,,,0.009538515963756761,0.7854089679307134,2.1180273775665797e-05,85.0,False,False,False,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,5.25750207901001,0.03627119958400726,300,,,,,
2048.0,2560.0,17.010000228881836,0.0,0.0,2.7000001072883606,0.3999999910593033,-0.19999999552965164,0.0,,,,0.009552613894084325,-2.3561836610450038,1.534134422157188e-05,False,False,85.0,False,False,-2048.0,-2560.0,17.010000228881836,0.0,0.0,2.7000001072883606,-0.5999999865889549,0.29999999329447746,0.0,,,,0.009538515963756761,0.7854089679307134,2.1180273775665797e-05,85.0,False,False,False,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,5.294355392456055,0.0368536002933979,300,,,,,
2048.0,2560.0,17.010000228881836,0.0,0.0,2.7000001072883606,0.3999999910593033,-0.19999999552965164,0.0,,,,0.009552613894084325,-2.3561836610450038,1.534134422157188e-05,False,False,85.0,False,False,-2048.0,-2560.0,17.010000228881836,0.0,0.0,2.7000001072883606,-0.5999999865889549,0.29999999329447746,0.0,,,,0.009538515963756761,0.7854089679307134,2.1180273775665797e-05,85.0,False,False,False,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,5.3308939933776855,0.03653839975595474,300,,,,,
2048.0,2560.0,17.010000228881836,0.0,0.0,2.7000001072883606,0.3999999910593033,-0.19999999552965164,0.0,,,,0.009552613894084325,-2.3561836610450038,1.534134422157188e-05,False,False,85.0,False,False,-2048.0,-2560.0,17.010000228881836,0.0,0.0,2.7000001072883606,-0.5999999865889549,0.29999999329447746,0.0,,,,0.009538515963756761,0.7854089679307134,2.1180273775665797e-05,85.0,False,False,False,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,5.366900444030762,0.03600639849901199,300,,,,,
2048.0,2560.0,17.010000228881836,0.0,0.0,2.7000001072883606,0.3999999910593033,-0.19999999552965164,0.0,,,,0.009552613894084325,-2.3561836610450038,1.534134422157188e-05,False,False,85.0,False,False,-2048.0,-2560.0,17.010000228881836,0.0,0.0,2.7000001072883606,-0.5999999865889549,0.29999999329447746,0.0,,,,0.009538515963756761,0.7854089679307134,2.1180273775665797e-05,85.0,False,False,False,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,5.404983997344971,0.038083601742982864,300,,,,,
2048.0,2560.0,17.010000228881836,0.0,0.0,2.7000001072883606,0.3999999910593033,-0.19999999552965164,0.0,,,,0.009552613894084325,-2.3561836610450038,1.534134422157188e-05,False,False,85.0,False,False,-2048.0,-2560.0,17.010000228881836,0.0,0.0,2.7000001072883606,-0.5999999865889549,0.29999999329447746,0.0,,,,0.009538515963756761,0.7854089679307134,2.1180273775665797e-05,85.0,False,False,False,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,5.440422058105469,0.03543819859623909,300,,,,,
