I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,FreakSmokey,FreakSmokey,FreakSmokey,FreakSmokey,FreakSmokey,FreakSmokey,FreakSmokey,FreakSmokey,FreakSmokey,FreakSmokey,FreakSmokey,FreakSmokey,FreakSmokey,FreakSmokey,FreakSmokey,FreakSmokey,FreakSmokey,FreakSmokey,FreakSmokey,FreakSmokey,ball,ball,ball,ball,ball,ball,ball,ball,ball,ball,ball,ball,ball,game,game,game,game,game,game,I007I,FreakSmokey
pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,throttle,steer,handbrake,rot_x,rot_y,rot_z,jump_active,boost,boost_active,dodge_active,double_jump_active,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,throttle,steer,handbrake,rot_x,rot_y,rot_z,dodge_active,double_jump_active,jump_active,boost,boost_active,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,hit_team_no,rot_x,rot_y,rot_z,time,delta,seconds_remaining,replicated_seconds_remaining,ball_has_been_hit,goal_number,boost_collect,boost_collect
-2048.0,-2560.0,17.010000228881836,0.0,0.0,2.7000001072883606,-0.5999999865889549,0.29999999329447746,0.0,,,,0.009538515963756761,0.7854089679307134,2.1180273775665797e-05,False,85.0,False,False,False,2048.0,2560.0,17.010000228881836,0.0,0.0,2.7000001072883606,0.5999999865889549,-0.29999999329447746,0.0,,,,0.009538515963756761,-2.356183709263073,2.1180273775665797e-05,False,False,False,85.0,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,3.8338608741760254,0.03560200333595276,300,,,,,
-2048.0,-2560.0,17.010000228881836,0.0,0.0,2.7000001072883606,-0.5999999865889549,0.29999999329447746,0.0,,,,0.009538515963756761,0.7854089679307134,2.1180273775665797e-05,False,85.0,False,False,False,2048.0,2560.0,17.010000228881836,0.0,0.0,2.7000001072883606,0.5999999865889549,-0.29999999329447746,0.0,,,,0.009538515963756761,-2.356183709263073,2.1180273775665797e-05,False,False,False,85.0,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,3.8692679405212402,0.03540729731321335,300,,,,,
-2048.0,-2560.0,17.010000228881836,0.0,0.0,2.7000001072883606,-0.5999999865889549,0.29999999329447746,0.0,,,,0.009538515963756761,0.7854089679307134,2.1180273775665797e-05,False,85.0,False,False,False,2048.0,2560.0,17.010000228881836,0.0,0.0,2.7000001072883606,0.5999999865889549,-0.29999999329447746,0.0,,,,0.009538515963756761,-2.356183709263073,2.1180273775665797e-05,False,False,False,85.0,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,3.9051904678344727,0.03592250123620033,300,,,,,
-2048.0,-2560.0,17.010000228881836,0.0,0.0,2.7000001072883606,-0.5999999865889549,0.29999999329447746,0.0,,,,0.009538515963756761,0.7854089679307134,2.1180273775665797e-05,False,85.0,False,False,False,2048.0,2560.0,17.010000228881836,0.0,0.0,2.7000001072883606,0.5999999865889549,-0.29999999329447746,0.0,,,,0.009538515963756761,-2.356183709263073,2.1180273775665797e-05,False,False,False,85.0,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,3.940645694732666,0.03545539826154709,300,,,,,
-2048.0,-2560.0,17.010000228881836,0.0,0.0,2.7000001072883606,-0.5999999865889549,0.29999999329447746,0.0,,,,0.009538515963756761,0.7854089679307134,2.1180273775665797e-05,False,85.0,False,False,False,2048.0,2560.0,17.010000228881836,0.0,0.0,2.7000001072883606,0.5999999865889549,-0.29999999329447746,0.0,,,,0.009538515963756761,-2.356183709263073,2.1180273775665797e-05,False,False,False,85.0,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,3.9761033058166504,0.03545750305056572,300,,,,,
-2048.0,-2560.0,17.010000228881836,0.0,0.0,2.7000001072883606,-0.5999999865889549,0.29999999329447746,0.0,,,,0.009538515963756761,0.7854089679307134,2.1180273775665797e-05,False,85.0,False,False,False,2048.0,2560.0,17.010000228881836,0.0,0.0,2.7000001072883606,0.5999999865889549,-0.29999999329447746,0.0,,,,0.009538515963756761,-2.356183709263073,2.1180273775665797e-05,False,False,False,85.0,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,4.011993408203125,0.03589029982686043,300,,,,,
-2048.0,-2560.0,17.010000228881836,0.0,0.0,2.7000001072883606,-0.5999999865889549,0.29999999329447746,0.0,,,,0.009538515963756761,0.7854089679307134,2.1180273775665797e-05,False,85.0,False,False,False,2048.0,2560.0,17.010000228881836,0.0,0.0,2.7000001072883606,0.5999999865889549,-0.29999999329447746,0.0,,,,0.009538515963756761,-2.356183709263073,2.1180273775665797e-05,False,False,False,85.0,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,4.047704219818115,0.035711098462343216,300,,,,,
-2048.0,-2560.0,17.010000228881836,0.0,0.0,2.7000001072883606,-0.5999999865889549,0.29999999329447746,0.0,,,,0.009538515963756761,0.7854089679307134,2.1180273775665797e-05,False,85.0,False,False,False,2048.0,2560.0,17.010000228881836,0.0,0.0,2.7000001072883606,0.5999999865889549,-0.29999999329447746,0.0,,,,0.009538515963756761,-2.356183709263073,2.1180273775665797e-05,False,False,False,85.0,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,4.083286762237549,0.03558259829878807,300,,,,,
-2048.0,-2560.0,17.010000228881836,0.0,0.0,2.7000001072883606,-0.5999999865889549,0.29999999329447746,0.0,,,,0.009538515963756761,0.7854089679307134,2.1180273775665797e-05,False,85.0,False,False,False,2048.0,2560.0,17.010000228881836,0.0,0.0,2.7000001072883606,0.5999999865889549,-0.29999999329447746,0.0,,,,0.009538515963756761,-2.356183709263073,2.1180273775665797e-05,False,False,False,85.0,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,4.118678569793701,0.03539180010557175,300,,,,,
