Twitch iycro,Twitch iycro,Twitch iycro,Twitch iycro,Twitch iycro,Twitch iycro,Twitch iycro,Twitch iycro,Twitch iycro,Twitch iycro,Twitch iycro,Twitch iycro,Twitch iycro,Twitch iycro,Twitch iycro,Twitch iycro,Twitch iycro,Twitch iycro,Twitch iycro,Twitch iycro,Tomasurx,Tomasurx,Tomasurx,Tomasurx,Tomasurx,Tomasurx,Tomasurx,Tomasurx,Tomasurx,Tomasurx,Tomasurx,Tomasurx,Tomasurx,Tomasurx,Tomasurx,Tomasurx,Tomasurx,Tomasurx,Tomasurx,Tomasurx,ball,ball,ball,ball,ball,ball,ball,ball,ball,ball,ball,ball,ball,game,game,game,game,game,game,Twitch iycro,Tomasurx
pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,throttle,steer,handbrake,rot_x,rot_y,rot_z,jump_active,double_jump_active,boost,boost_active,dodge_active,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,throttle,steer,handbrake,rot_x,rot_y,rot_z,boost,boost_active,dodge_active,jump_active,double_jump_active,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,hit_team_no,rot_x,rot_y,rot_z,time,delta,seconds_remaining,replicated_seconds_remaining,ball_has_been_hit,goal_number,boost_collect,boost_collect
-2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.3999999910593033,0.19999999552965164,0.0,,123.0,,0.009552613894084325,-0.7854089554748602,-1.534134422157188e-05,False,False,85.0,False,False,2048.0,-2560.0,17.049999237060547,0.0,0.0,2.7000001072883606,-0.5999999865889549,-0.19999999552965164,0.0,,,,0.016732110680519822,2.356164044334704,-2.2966928190319083e-05,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,5.740140914916992,0.03607359901070595,300,,,,,
-2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.3999999910593033,0.19999999552965164,0.0,,123.0,,0.009552613894084325,-0.7854089554748602,-1.534134422157188e-05,False,False,85.0,False,False,2048.0,-2560.0,17.049999237060547,0.0,0.0,2.7000001072883606,-0.5999999865889549,-0.19999999552965164,0.0,,,,0.016732110680519822,2.356164044334704,-2.2966928190319083e-05,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,5.773473739624023,0.033333901315927505,300,,,,,
-2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.3999999910593033,0.19999999552965164,0.0,,123.0,,0.009552613894084325,-0.7854089554748602,-1.534134422157188e-05,False,False,85.0,False,False,2048.0,-2560.0,17.049999237060547,0.0,0.0,2.7000001072883606,-0.5999999865889549,-0.19999999552965164,0.0,,,,0.016732110680519822,2.356164044334704,-2.2966928190319083e-05,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,5.806806564331055,0.033333998173475266,300,,,,,
-2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.3999999910593033,0.19999999552965164,0.0,,123.0,,0.009552613894084325,-0.7854089554748602,-1.534134422157188e-05,False,False,85.0,False,False,2048.0,-2560.0,17.049999237060547,0.0,0.0,2.7000001072883606,-0.5999999865889549,-0.19999999552965164,0.0,,,,0.016732110680519822,2.356164044334704,-2.2966928190319083e-05,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,5.840139389038086,0.03333380073308945,300,,,,,
-2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.3999999910593033,0.19999999552965164,0.0,,123.0,,0.009552613894084325,-0.7854089554748602,-1.534134422157188e-05,False,False,85.0,False,False,2048.0,-2560.0,17.049999237060547,0.0,0.0,2.7000001072883606,-0.5999999865889549,-0.19999999552965164,0.0,,,,0.016732110680519822,2.356164044334704,-2.2966928190319083e-05,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,5.873472213745117,0.033334001898765564,300,,,,,
-2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.3999999910593033,0.19999999552965164,0.0,,123.0,,0.009552613894084325,-0.7854089554748602,-1.534134422157188e-05,False,False,85.0,False,False,2048.0,-2560.0,17.049999237060547,0.0,0.0,2.7000001072883606,-0.5999999865889549,-0.19999999552965164,0.0,,,,0.016732110680519822,2.356164044334704,-2.2966928190319083e-05,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,5.906805038452148,0.033333998173475266,300,,,,,
-2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.3999999910593033,0.19999999552965164,0.0,,123.0,,0.009552613894084325,-0.7854089554748602,-1.534134422157188e-05,False,False,85.0,False,False,2048.0,-2560.0,17.049999237060547,0.0,0.0,2.7000001072883606,-0.5999999865889549,-0.19999999552965164,0.0,,,,0.016732110680519822,2.356164044334704,-2.2966928190319083e-05,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,5.94013786315918,0.033334098756313324,300,,,,,
-2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.3999999910593033,0.19999999552965164,0.0,,123.0,,0.009552613894084325,-0.7854089554748602,-1.534134422157188e-05,False,False,85.0,False,False,2048.0,-2560.0,17.049999237060547,0.0,0.0,2.7000001072883606,-0.5999999865889549,-0.19999999552965164,0.0,,,,0.016732110680519822,2.356164044334704,-2.2966928190319083e-05,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,5.973470687866211,0.033334001898765564,300,,,,,
-2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.3999999910593033,0.19999999552965164,0.0,,123.0,,0.009552613894084325,-0.7854089554748602,-1.534134422157188e-05,False,False,85.0,False,False,2048.0,-2560.0,17.049999237060547,0.0,0.0,2.7000001072883606,-0.5999999865889549,-0.19999999552965164,0.0,,,,0.016732110680519822,2.356164044334704,-2.2966928190319083e-05,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,6.006803512573242,0.033334098756313324,300,,,,,
