I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,drkuset_,drkuset_,drkuset_,drkuset_,drkuset_,drkuset_,drkuset_,drkuset_,drkuset_,drkuset_,drkuset_,drkuset_,drkuset_,drkuset_,drkuset_,drkuset_,drkuset_,drkuset_,drkuset_,drkuset_,ball,ball,ball,ball,ball,ball,ball,ball,ball,ball,ball,ball,ball,game,game,game,game,game,game,I007I,drkuset_
pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,throttle,steer,handbrake,rot_x,rot_y,rot_z,boost,boost_active,dodge_active,double_jump_active,jump_active,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,throttle,steer,handbrake,rot_x,rot_y,rot_z,jump_active,double_jump_active,dodge_active,boost,boost_active,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,hit_team_no,rot_x,rot_y,rot_z,time,delta,seconds_remaining,replicated_seconds_remaining,ball_has_been_hit,goal_number,boost_collect,boost_collect
-2048.0,-2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.5999999865889549,0.29999999329447746,0.0,255.0,,,0.009538515963756761,0.7854089679307134,2.1180273775665797e-05,85.0,False,False,False,False,2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,-0.29999999329447746,0.0,238.0,,,0.009538515963756761,-2.356183709263073,2.1180273775665797e-05,False,False,False,85.0,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,3.9540774822235107,0.03338530287146568,300,,,,,
-2048.0,-2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.5999999865889549,0.29999999329447746,0.0,255.0,,,0.009538515963756761,0.7854089679307134,2.1180273775665797e-05,85.0,False,False,False,False,2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,-0.29999999329447746,0.0,240.0,,,0.009538515963756761,-2.356183709263073,2.1180273775665797e-05,False,False,False,85.0,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,3.9956581592559814,0.04158049821853638,300,,,,,
-2048.0,-2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.5999999865889549,0.29999999329447746,0.0,255.0,,,0.009538515963756761,0.7854089679307134,2.1180273775665797e-05,85.0,False,False,False,False,2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,-0.29999999329447746,0.0,240.0,,,0.009538515963756761,-2.356183709263073,2.1180273775665797e-05,False,False,False,85.0,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,4.037258148193359,0.041600301861763,300,,,,,
-2048.0,-2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.5999999865889549,0.29999999329447746,0.0,255.0,,,0.009538515963756761,0.7854089679307134,2.1180273775665797e-05,85.0,False,False,False,False,2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,-0.29999999329447746,0.0,240.0,,,0.009538515963756761,-2.356183709263073,2.1180273775665797e-05,False,False,False,85.0,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,4.070822238922119,0.03356369957327843,300,,,,,
-2048.0,-2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.5999999865889549,0.29999999329447746,0.0,255.0,,,0.009538515963756761,0.7854089679307134,2.1180273775665797e-05,85.0,False,False,False,False,2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,-0.29999999329447746,0.0,245.0,,,0.009538515963756761,-2.356183709263073,2.1180273775665797e-05,False,False,False,85.0,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,4.112279891967773,0.04145750030875206,300,,,,,
-2048.0,-2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.5999999865889549,0.29999999329447746,0.0,255.0,,,0.009538515963756761,0.7854089679307134,2.1180273775665797e-05,85.0,False,False,False,False,2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,-0.29999999329447746,0.0,245.0,,,0.009538515963756761,-2.356183709263073,2.1180273775665797e-05,False,False,False,85.0,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,4.153712272644043,0.04143219813704491,300,,,,,
-2048.0,-2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.5999999865889549,0.29999999329447746,0.0,255.0,,,0.009538515963756761,0.7854089679307134,2.1180273775665797e-05,85.0,False,False,False,False,2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,-0.29999999329447746,0.0,255.0,,,0.009538515963756761,-2.356183709263073,2.1180273775665797e-05,False,False,False,85.0,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,4.1951189041137695,0.04140679910778999,300,,,,,
-2048.0,-2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.5999999865889549,0.29999999329447746,0.0,255.0,,,0.009538515963756761,0.7854089679307134,2.1180273775665797e-05,85.0,False,False,False,False,2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,-0.29999999329447746,0.0,255.0,,,0.009538515963756761,-2.356183709263073,2.1180273775665797e-05,False,False,False,85.0,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,4.229297637939453,0.034178901463747025,300,,,,,
-2048.0,-2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.5999999865889549,0.29999999329447746,0.0,255.0,,,0.009538515963756761,0.7854089679307134,2.1180273775665797e-05,85.0,False,False,False,False,2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,-0.29999999329447746,0.0,255.0,,,0.009538515963756761,-2.356183709263073,2.1180273775665797e-05,False,False,False,85.0,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,4.270666599273682,0.04136889800429344,300,,,,,
-2048.0,-2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.5999999865889549,0.29999999329447746,0.0,255.0,,,0.009538515963756761,0.7854089679307134,2.1180273775665797e-05,85.0,False,False,False,False,2048.0,2560.0,17.010000228881836,0.0,0.0,2.0999999344348907,0.5999999865889549,-0.29999999329447746,0.0,255.0,,,0.009538515963756761,-2.356183709263073,2.1180273775665797e-05,False,False,False,85.0,False,0.0,0.0,92.75,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,4.304454803466797,0.033787801861763,300,,,,,
