I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,I007I,ENDGamers3,ENDGamers3,ENDGamers3,ENDGamers3,ENDGamers3,ENDGamers3,ENDGamers3,ENDGamers3,ENDGamers3,ENDGamers3,ENDGamers3,ENDGamers3,ENDGamers3,ENDGamers3,ENDGamers3,ENDGamers3,ENDGamers3,ENDGamers3,ENDGamers3,ENDGamers3,ball,ball,ball,ball,ball,ball,ball,ball,ball,ball,ball,ball,ball,game,game,game,game,game,game,I007I,ENDGamers3
pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,throttle,steer,handbrake,rot_x,rot_y,rot_z,jump_active,boost,boost_active,dodge_active,double_jump_active,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,throttle,steer,handbrake,rot_x,rot_y,rot_z,boost,boost_active,jump_active,double_jump_active,dodge_active,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,hit_team_no,rot_x,rot_y,rot_z,time,delta,seconds_remaining,replicated_seconds_remaining,ball_has_been_hit,goal_number,boost_collect,boost_collect
-256.0,3840.0,18.329999923706055,0.0,0.0,3.100000023841858,-0.5999999865889549,0.0,0.0,,,,0.017113059583429523,-1.5708147175217646,-1.5725612007862035e-07,False,85.0,False,False,False,256.0,-3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.5999999865889549,0.0,0.0,145.0,81.0,,0.009544408615608195,1.5710025072147868,9.839855489961746e-07,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,3.657360553741455,0.034444600343704224,300,,,,,
-256.0,3840.0,18.329999923706055,0.0,0.0,3.100000023841858,-0.5999999865889549,0.0,0.0,,,,0.017113059583429523,-1.5708147175217646,-1.5725612007862035e-07,False,85.0,False,False,False,256.0,-3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.5999999865889549,0.0,0.0,145.0,81.0,,0.009544408615608195,1.5710025072147868,9.839855489961746e-07,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,3.691389799118042,0.03402940183877945,300,,,,,
-256.0,3840.0,18.329999923706055,0.0,0.0,3.100000023841858,-0.5999999865889549,0.0,0.0,,,,0.017113059583429523,-1.5708147175217646,-1.5725612007862035e-07,False,85.0,False,False,False,256.0,-3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.5999999865889549,0.0,0.0,141.0,108.0,,0.009544408615608195,1.5710025072147868,9.839855489961746e-07,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,3.7252326011657715,0.033842697739601135,300,,,,,
-256.0,3840.0,18.329999923706055,0.0,0.0,3.100000023841858,-0.5999999865889549,0.0,0.0,,,,0.017113059583429523,-1.5708147175217646,-1.5725612007862035e-07,False,85.0,False,False,False,256.0,-3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.5999999865889549,0.0,0.0,141.0,108.0,,0.009544408615608195,1.5710025072147868,9.839855489961746e-07,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,3.7592310905456543,0.03399839997291565,300,,,,,
-256.0,3840.0,18.329999923706055,0.0,0.0,3.100000023841858,-0.5999999865889549,0.0,0.0,,,,0.017113059583429523,-1.5708147175217646,-1.5725612007862035e-07,False,85.0,False,False,False,256.0,-3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.5999999865889549,0.0,0.0,140.0,111.0,,0.009544408615608195,1.5710025072147868,9.839855489961746e-07,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,3.795123338699341,0.03589250147342682,300,,,,,
-256.0,3840.0,18.329999923706055,0.0,0.0,3.100000023841858,-0.5999999865889549,0.0,0.0,,,,0.017113059583429523,-1.5708147175217646,-1.5725612007862035e-07,False,85.0,False,False,False,256.0,-3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.5999999865889549,0.0,0.0,140.0,111.0,,0.009544408615608195,1.5710025072147868,9.839855489961746e-07,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,3.833099365234375,0.03797620162367821,300,,,,,
-256.0,3840.0,18.329999923706055,0.0,0.0,3.100000023841858,-0.5999999865889549,0.0,0.0,,,,0.017113059583429523,-1.5708147175217646,-1.5725612007862035e-07,False,85.0,False,False,False,256.0,-3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.5999999865889549,0.0,0.0,140.0,111.0,,0.009544408615608195,1.5710025072147868,9.839855489961746e-07,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,3.868927001953125,0.035827700048685074,300,,,,,
-256.0,3840.0,18.329999923706055,0.0,0.0,3.100000023841858,-0.5999999865889549,0.0,0.0,,,,0.017113059583429523,-1.5708147175217646,-1.5725612007862035e-07,False,85.0,False,False,False,256.0,-3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.5999999865889549,0.0,0.0,138.0,118.0,,0.009544408615608195,1.5710025072147868,9.839855489961746e-07,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,3.905425548553467,0.03649849817156792,300,,,,,
-256.0,3840.0,18.329999923706055,0.0,0.0,3.100000023841858,-0.5999999865889549,0.0,0.0,,,,0.017113059583429523,-1.5708147175217646,-1.5725612007862035e-07,False,85.0,False,False,False,256.0,-3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.5999999865889549,0.0,0.0,138.0,118.0,,0.009544408615608195,1.5710025072147868,9.839855489961746e-07,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,3.9406094551086426,0.035183899104595184,300,,,,,
-256.0,3840.0,18.329999923706055,0.0,0.0,3.100000023841858,-0.5999999865889549,0.0,0.0,,,,0.017113059583429523,-1.5708147175217646,-1.5725612007862035e-07,False,85.0,False,False,False,256.0,-3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.5999999865889549,0.0,0.0,138.0,128.0,,0.009544408615608195,1.5710025072147868,9.839855489961746e-07,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,3.978407382965088,0.037797801196575165,300,,,,,
-256.0,3840.0,18.329999923706055,0.0,0.0,3.100000023841858,-0.5999999865889549,0.0,0.0,,,,0.017113059583429523,-1.5708147175217646,-1.5725612007862035e-07,False,85.0,False,False,False,256.0,-3840.0,17.010000228881836,0.0,0.0,2.0999999344348907,-0.5999999865889549,0.0,0.0,138.0,128.0,,0.009544408615608195,1.5710025072147868,9.839855489961746e-07,85.0,False,False,False,False,0.0,0.0,92.73999786376953,,,,,,,,5.394781965177863e-06,5.394811069085828e-06,5.394811069085828e-06,4.016061782836914,0.03765450045466423,300,,,,,
